racial_ethnic_group,age_group,cancer_type,baseline_mortality_per_100k,chi_hp,chi_screen,p_hp_effectiveness,r_hp,r_screen,im_attributable_effect,total_intervention_effect,mortality_reduction_per_100k,percent_reduction
Non-Hispanic White,<40,non-cardia adenocarcinoma,0,0.8,0.7,0.9,0.7319999999999999,0.72,0.37185031999999996,0.37185031999999996,0,NA
Non-Hispanic White,40-44,non-cardia adenocarcinoma,0.03,0.8,0.7,0.9,0.7319999999999999,0.72,0.34464176,0.34464176,0.0196607472,65.53582399999999
Non-Hispanic White,45-49,non-cardia adenocarcinoma,0.04,0.8,0.7,0.9,0.7319999999999999,0.72,0.33908543999999996,0.33908543999999996,0.026436582400000002,66.09145600000001
Non-Hispanic White,50-54,non-cardia adenocarcinoma,0.08,0.8,0.7,0.9,0.7319999999999999,0.72,0.32966639999999997,0.32966639999999997,0.053626688000000006,67.03336
Non-Hispanic White,55-59,non-cardia adenocarcinoma,0.11,0.8,0.7,0.9,0.7319999999999999,0.72,0.24152824,0.24152824,0.0834318936,75.847176
Non-Hispanic White,60-64,non-cardia adenocarcinoma,0.16,0.8,0.7,0.9,0.7319999999999999,0.72,0.25465856,0.25465856,0.1192546304,74.534144
Non-Hispanic White,65-69,non-cardia adenocarcinoma,0.2,0.8,0.7,0.9,0.7319999999999999,0.72,0.23802047999999998,0.23802047999999998,0.15239590400000003,76.197952000000015
Non-Hispanic White,70-74,non-cardia adenocarcinoma,0.26,0.8,0.7,0.9,0.7319999999999999,0.72,0.25487279999999995,0.25487279999999995,0.193733072,74.51272
Non-Hispanic White,75-79,non-cardia adenocarcinoma,0.3,0.8,0.7,0.9,0.7319999999999999,0.72,0.29856527999999993,0.29856527999999993,0.210430416,70.143472
Non-Hispanic White,80-84,non-cardia adenocarcinoma,0.32,0.8,0.7,0.9,0.7319999999999999,0.72,0.3342348799999999,0.3342348799999999,0.21304483840000005,66.57651200000001
Non-Hispanic White,85+,non-cardia adenocarcinoma,0.34,0.8,0.7,0.9,0.7319999999999999,0.72,0.39562495999999986,0.39562495999999986,0.20548751360000006,60.43750400000001
Non-Hispanic Black,<40,non-cardia adenocarcinoma,0.01,0.8,0.7,0.9,0.7319999999999999,0.72,0.5045443199999999,0.5045443199999999,0.004954556800000001,49.545568
Non-Hispanic Black,40-44,non-cardia adenocarcinoma,0.1,0.8,0.7,0.9,0.7319999999999999,0.72,0.46974815999999997,0.46974815999999997,0.053025184,53.025184
Non-Hispanic Black,45-49,non-cardia adenocarcinoma,0.15,0.8,0.7,0.9,0.7319999999999999,0.72,0.44620911999999996,0.44620911999999996,0.083068632,55.37908800000001
Non-Hispanic Black,50-54,non-cardia adenocarcinoma,0.22,0.8,0.7,0.9,0.7319999999999999,0.72,0.43779007999999997,0.43779007999999997,0.12368618240000001,56.220992
Non-Hispanic Black,55-59,non-cardia adenocarcinoma,0.3,0.8,0.7,0.9,0.7319999999999999,0.72,0.46681648,0.46681648,0.159955056,53.318352000000004
Non-Hispanic Black,60-64,non-cardia adenocarcinoma,0.37,0.8,0.7,0.9,0.7319999999999999,0.72,0.4829136,0.4829136,0.191321968,51.70864
Non-Hispanic Black,65-69,non-cardia adenocarcinoma,0.51,0.8,0.7,0.9,0.7319999999999999,0.72,0.44532863999999994,0.44532863999999994,0.2828823936,55.467135999999996
Non-Hispanic Black,70-74,non-cardia adenocarcinoma,0.63,0.8,0.7,0.9,0.7319999999999999,0.72,0.44585855999999996,0.44585855999999996,0.34910910720000005,55.41414400000001
Non-Hispanic Black,75-79,non-cardia adenocarcinoma,0.61,0.8,0.7,0.9,0.7319999999999999,0.72,0.47416704,0.47416704,0.3207581056,52.583296000000004
Non-Hispanic Black,80-84,non-cardia adenocarcinoma,0.46,0.8,0.7,0.9,0.7319999999999999,0.72,0.47636352,0.47636352,0.24087278080000002,52.363648000000005
Non-Hispanic Black,85+,non-cardia adenocarcinoma,0.44,0.8,0.7,0.9,0.7319999999999999,0.72,0.50944432,0.50944432,0.2158444992,49.05556800000001
Non-Hispanic American Indian/Alaskan Native,<40,non-cardia adenocarcinoma,0.01,0.8,0.7,0.9,0.7319999999999999,0.72,0,0,0.01,100
Non-Hispanic American Indian/Alaskan Native,40-44,non-cardia adenocarcinoma,0.03,0.8,0.7,0.9,0.7319999999999999,0.72,0,0,0.03,100
Non-Hispanic American Indian/Alaskan Native,45-49,non-cardia adenocarcinoma,0.19,0.8,0.7,0.9,0.7319999999999999,0.72,0,0,0.19,100
Non-Hispanic American Indian/Alaskan Native,50-54,non-cardia adenocarcinoma,0.18,0.8,0.7,0.9,0.7319999999999999,0.72,0,0,0.18,100
Non-Hispanic American Indian/Alaskan Native,55-59,non-cardia adenocarcinoma,0.28,0.8,0.7,0.9,0.7319999999999999,0.72,0,0,0.28,100
Non-Hispanic American Indian/Alaskan Native,60-64,non-cardia adenocarcinoma,0.12,0.8,0.7,0.9,0.7319999999999999,0.72,0.41852512000000003,0.41852512000000003,0.0697769856,58.14748799999999
Non-Hispanic American Indian/Alaskan Native,65-69,non-cardia adenocarcinoma,1.57,0.8,0.7,0.9,0.7319999999999999,0.72,0,0,1.57,100
Non-Hispanic American Indian/Alaskan Native,70-74,non-cardia adenocarcinoma,2.03,0.8,0.7,0.9,0.7319999999999999,0.72,0,0,2.03,100
Non-Hispanic American Indian/Alaskan Native,75-79,non-cardia adenocarcinoma,0.63,0.8,0.7,0.9,0.7319999999999999,0.72,0,0,0.63,100
Non-Hispanic American Indian/Alaskan Native,80-84,non-cardia adenocarcinoma,0.55,0.8,0.7,0.9,0.7319999999999999,0.72,0,0,0.55,100
Non-Hispanic American Indian/Alaskan Native,85+,non-cardia adenocarcinoma,0.01,0.8,0.7,0.9,0.7319999999999999,0.72,0,0,0.01,100
Non-Hispanic Asian/Pacific Islander,<40,non-cardia adenocarcinoma,0.01,0.8,0.7,0.9,0.7319999999999999,0.72,0.6061708799999999,0.6061708799999999,0.003938291200000002,39.38291200000002
Non-Hispanic Asian/Pacific Islander,40-44,non-cardia adenocarcinoma,0.15,0.8,0.7,0.9,0.7319999999999999,0.72,0.5893327999999999,0.5893327999999999,0.061600080000000015,41.06672000000001
Non-Hispanic Asian/Pacific Islander,45-49,non-cardia adenocarcinoma,0.2,0.8,0.7,0.9,0.7319999999999999,0.72,0.54531568,0.54531568,0.090936864,45.468432
Non-Hispanic Asian/Pacific Islander,50-54,non-cardia adenocarcinoma,0.26,0.8,0.7,0.9,0.7319999999999999,0.72,0.5615937599999998,0.5615937599999998,0.11398562240000004,43.84062400000002
Non-Hispanic Asian/Pacific Islander,55-59,non-cardia adenocarcinoma,0.33,0.8,0.7,0.9,0.7319999999999999,0.72,0.5451436799999999,0.5451436799999999,0.15010258560000003,45.48563200000001
Non-Hispanic Asian/Pacific Islander,60-64,non-cardia adenocarcinoma,0.35,0.8,0.7,0.9,0.7319999999999999,0.72,0.52978752,0.52978752,0.164574368,47.02124800000001
Non-Hispanic Asian/Pacific Islander,65-69,non-cardia adenocarcinoma,0.46,0.8,0.7,0.9,0.7319999999999999,0.72,0.5051983999999999,0.5051983999999999,0.22760873600000003,49.480160000000005
Non-Hispanic Asian/Pacific Islander,70-74,non-cardia adenocarcinoma,0.68,0.8,0.7,0.9,0.7319999999999999,0.72,0.5095526399999999,0.5095526399999999,0.3335042048000001,49.044736000000015
Non-Hispanic Asian/Pacific Islander,75-79,non-cardia adenocarcinoma,0.69,0.8,0.7,0.9,0.7319999999999999,0.72,0.523998,0.523998,0.32844138,47.6002
Non-Hispanic Asian/Pacific Islander,80-84,non-cardia adenocarcinoma,0.69,0.8,0.7,0.9,0.7319999999999999,0.72,0.52267664,0.52267664,0.3293531184,47.732336000000004
Non-Hispanic Asian/Pacific Islander,85+,non-cardia adenocarcinoma,0.67,0.8,0.7,0.9,0.7319999999999999,0.72,0.5623735999999999,0.5623735999999999,0.2932096880000001,43.762640000000005
Hispanic,<40,non-cardia adenocarcinoma,0.02,0.8,0.7,0.9,0.7319999999999999,0.72,0.59153472,0.59153472,0.008169305600000001,40.846528000000006
Hispanic,40-44,non-cardia adenocarcinoma,0.14,0.8,0.7,0.9,0.7319999999999999,0.72,0.59153472,0.59153472,0.05718513920000001,40.846528000000006
Hispanic,45-49,non-cardia adenocarcinoma,0.19,0.8,0.7,0.9,0.7319999999999999,0.72,0.5724947199999999,0.5724947199999999,0.08122600320000002,42.75052800000001
Hispanic,50-54,non-cardia adenocarcinoma,0.23,0.8,0.7,0.9,0.7319999999999999,0.72,0.5556566399999999,0.5556566399999999,0.10219897280000001,44.434336
Hispanic,55-59,non-cardia adenocarcinoma,0.27,0.8,0.7,0.9,0.7319999999999999,0.72,0.51510784,0.51510784,0.1309208832,48.489216
Hispanic,60-64,non-cardia adenocarcinoma,0.34,0.8,0.7,0.9,0.7319999999999999,0.72,0.5231564000000001,0.5231564000000001,0.16212682399999997,47.684359999999984
Hispanic,65-69,non-cardia adenocarcinoma,0.37,0.8,0.7,0.9,0.7319999999999999,0.72,0.4990752,0.4990752,0.185342176,50.092479999999995
Hispanic,70-74,non-cardia adenocarcinoma,0.43,0.8,0.7,0.9,0.7319999999999999,0.72,0.4883212799999999,0.4883212799999999,0.22002184960000004,51.16787200000002
Hispanic,75-79,non-cardia adenocarcinoma,0.41,0.8,0.7,0.9,0.7319999999999999,0.72,0.5166297599999999,0.5166297599999999,0.19818179840000003,48.337024000000014
Hispanic,80-84,non-cardia adenocarcinoma,0.29,0.8,0.7,0.9,0.7319999999999999,0.72,0.496212,0.496212,0.14609851999999998,50.3788
Hispanic,85+,non-cardia adenocarcinoma,0.28,0.8,0.7,0.9,0.7319999999999999,0.72,0.53590896,0.53590896,0.1299454912,46.409104
All Races/Ethnicities,<40,non-cardia adenocarcinoma,0.02,0.8,0.7,0.9,0.7319999999999999,0.72,0.5078931200000001,0.5078931200000001,0.009842137599999998,49.21068799999999
All Races/Ethnicities,40-44,non-cardia adenocarcinoma,0.08,0.8,0.7,0.9,0.7319999999999999,0.72,0.48068456000000004,0.48068456000000004,0.041545235199999996,51.931543999999995
All Races/Ethnicities,45-49,non-cardia adenocarcinoma,0.12,0.8,0.7,0.9,0.7319999999999999,0.72,0.48037103999999997,0.48037103999999997,0.0623554752,51.962896
All Races/Ethnicities,50-54,non-cardia adenocarcinoma,0.17,0.8,0.7,0.9,0.7319999999999999,0.72,0.45211391999999995,0.45211391999999995,0.09314063360000002,54.788608
All Races/Ethnicities,55-59,non-cardia adenocarcinoma,0.22,0.8,0.7,0.9,0.7319999999999999,0.72,0.36645664,0.36645664,0.1393795392,63.35433600000001
All Races/Ethnicities,60-64,non-cardia adenocarcinoma,0.27,0.8,0.7,0.9,0.7319999999999999,0.72,0.3581136,0.3581136,0.173309328,64.18863999999999
All Races/Ethnicities,65-69,non-cardia adenocarcinoma,0.33,0.8,0.7,0.9,0.7319999999999999,0.72,0.33015743999999997,0.33015743999999997,0.2210480448,66.984256
All Races/Ethnicities,70-74,non-cardia adenocarcinoma,0.41,0.8,0.7,0.9,0.7319999999999999,0.72,0.33497567999999994,0.33497567999999994,0.2726599712,66.50243200000001
All Races/Ethnicities,75-79,non-cardia adenocarcinoma,0.42,0.8,0.7,0.9,0.7319999999999999,0.72,0.36410399999999993,0.36410399999999993,0.26707632000000003,63.58960000000001
All Races/Ethnicities,80-84,non-cardia adenocarcinoma,0.38,0.8,0.7,0.9,0.7319999999999999,0.72,0.37516159999999993,0.37516159999999993,0.23743859200000003,62.483840000000015
All Races/Ethnicities,85+,non-cardia adenocarcinoma,0.38,0.8,0.7,0.9,0.7319999999999999,0.72,0.39562495999999986,0.39562495999999986,0.22966251520000006,60.43750400000001
